comparison,regulon,beta_higher_minus_lower,p,q_fdr,significant_fdr,n_donors_lower,n_donors_higher,direction
Not AD vs Low,ATF3_direct_+/+_(12g),0.05447773520064908,0.5042705054440415,0.9496056441000641,False,3,4,up
Not AD vs Low,CEBPD_direct_+/+_(7g),0.030159176444492813,0.6386301596841097,0.9496056441000641,False,3,4,up
Not AD vs Low,ELF1_direct_+/+_(271g),0.0018236283374386472,0.8230937913631994,0.9496056441000641,False,3,4,up
Not AD vs Low,ELF1_direct_+/-_(1705g),-0.005864795742307948,0.32062170908588683,0.8878755020839944,False,3,4,down
Not AD vs Low,ELF2_direct_+/-_(1795g),-0.003427420757653162,0.4775123754253026,0.9496056441000641,False,3,4,down
Not AD vs Low,ETS1_direct_+/+_(146g),0.004410343616346332,0.11840141454612864,0.8851897668641233,False,3,4,up
Not AD vs Low,ETS1_direct_+/-_(170g),0.0010598918252389875,0.7179018952255238,0.9496056441000641,False,3,4,up
Not AD vs Low,ETS1_direct_-/+_(5g),-0.012009802918163373,0.8432020179500572,0.9496056441000641,False,3,4,down
Not AD vs Low,ETV6_direct_+/+_(97g),-0.015366558137934534,0.4083071410805637,0.9393557512129583,False,3,4,down
Not AD vs Low,ETV6_direct_+/-_(1145g),-0.012007498917899035,0.19405523724686657,0.8851897668641233,False,3,4,down
Not AD vs Low,FLI1_direct_+/+_(291g),0.0005224683679145599,0.9695674345117908,0.9737918453308361,False,3,4,up
Not AD vs Low,FLI1_direct_+/-_(1452g),-0.0036960939111078017,0.7920453620661021,0.9496056441000641,False,3,4,down
Not AD vs Low,FOS_direct_+/+_(9g),0.007968824220976225,0.8968497749833938,0.9496056441000641,False,3,4,up
Not AD vs Low,FOXO3_direct_+/+_(1096g),0.0036969891819029774,0.6467413642381561,0.9496056441000641,False,3,4,up
Not AD vs Low,FOXO3_direct_+/-_(1443g),0.0030569040059862263,0.7457479043119724,0.9496056441000641,False,3,4,up
