regulon,beta_adnc_unadj,p_adnc_unadj,beta_adnc_adj,p_adnc_adj,q_adnc,direction,mean_auc
ZBTB20_direct_+/+_(647g),0.036241453860305806,0.004087072522393995,0.035899447361065186,0.0035404929017976497,0.028647057922348253,up,0.17060838914704804
ZBTB16_direct_+/+_(15g),0.07241069861834262,0.006456934733329646,0.08083250200179104,0.0018082331017480655,0.028647057922348253,up,0.23113599252596698
FOXO3_direct_+/-_(1443g),0.036171802861822346,0.0034207249420183227,0.03468840781055922,0.004774509653724709,0.028647057922348253,up,0.182314128384011
FLI1_direct_+/+_(291g),0.03822953545941451,0.006434677052259342,0.03860893895937288,0.00454139828809278,0.028647057922348253,up,0.1944960761054977
FLI1_direct_+/-_(1452g),0.03780866614866255,0.0035749363451531018,0.03731283688297214,0.0026751091140885955,0.028647057922348253,up,0.19619660815922108
FOXO3_direct_+/+_(1096g),0.03296096200934606,0.0027569901587844343,0.033052898065604935,0.003153528353592314,0.028647057922348253,up,0.1641293147503772
ZBTB20_direct_+/-_(772g),0.04280201959885243,0.00711206224085352,0.04193103493293132,0.0065564573935048475,0.03371892373802493,up,0.20064669952524292
CEBPD_direct_+/+_(7g),-0.11393604933147874,0.03741255330046783,-0.1294680722747886,0.00834176538106427,0.03753794421478922,down,0.12412705239242167
ATF3_direct_+/+_(12g),-0.09688569643457973,0.008291414020789114,-0.10033226715995892,0.009910015659441027,0.03964006263776411,down,0.059242409101508374
ELF1_direct_+/+_(271g),0.03188482919667521,0.006407220258947133,0.028642453017360632,0.014877324792062068,0.04276227630111354,up,0.19733415782015257
ELF2_direct_+/-_(1795g),0.02434822139692073,0.004168765321964624,0.02151476421149244,0.01316048321197006,0.04276227630111354,up,0.159212440938955
MEF2C_direct_+/-_(602g),0.033091984025216466,0.008561343582915599,0.031154814660844382,0.0126364339617682,0.04276227630111354,up,0.21218685249500419
FOS_direct_+/+_(9g),-0.100318398528469,0.011066124990205315,-0.09598668716803167,0.015441933108735444,0.04276227630111354,down,0.10524295221052622
MEF2C_direct_+/+_(567g),0.026374088479810615,0.014834764214881337,0.02495784068896821,0.019470575567244536,0.044110571806771234,up,0.19301299451093126
ZNF207_direct_+/-_(764g),0.023412943932334646,0.004346141937926366,0.02002108907891429,0.017901594948366496,0.044110571806771234,up,0.1814226569806966
ELF1_direct_+/-_(1705g),0.023397082711543886,0.004549772580821367,0.01899549711098571,0.019604698580787214,0.044110571806771234,up,0.18734204506868585
MEF2A_direct_+/-_(102g),0.028490540635141885,0.027610122998831768,0.028530485929842486,0.026027550539127087,0.055117165847563244,up,0.21067146722497496
ZNF148_direct_+/-_(1767g),0.018620688926137836,0.01089376249182564,0.015647539909774116,0.034730813612366816,0.06946162722473363,up,0.19020177610510575
UBE2K_direct_+/-_(1242g),0.019208689075739856,0.02263852906982499,0.01732910808096228,0.03976072571896692,0.0753361118885689,up,0.18688810592608954
ZNF148_direct_+/+_(1594g),0.017797258049460623,0.020260321954016447,0.015521064446443895,0.04849714730091029,0.08729486514163852,up,0.18497309793522854
ILF3_direct_+/-_(7g),-0.058085311602793115,0.03647727618233331,-0.053190651163657496,0.07012553978244716,0.11475088328036807,down,0.07164079531672611
MEF2A_direct_+/+_(259g),0.02293180161214132,0.0412864060862001,0.020267068977159273,0.0682262477587274,0.11475088328036807,up,0.19542844700072945
TBL1XR1_direct_+/-_(802g),0.022868179006852965,0.043117054445055245,0.019878166416270108,0.08156471376731972,0.12766650850537,up,0.232750446773341
TCF12_direct_+/-_(1905g),0.01546279884034956,0.08620526527213163,0.012767027929912937,0.15576644576821297,0.23364966865231945,up,0.19572193729320697
ETS1_direct_+/-_(170g),0.015691813988805,0.1268345035471034,0.0159093199718084,0.16721646264460083,0.2407917062082252,up,0.04833397562869576
IKZF3_direct_+/+_(209g),0.013452605441828159,0.198697194457195,0.013700098014022041,0.23843776358685168,0.3301445957356408,up,0.03870652967482776
TCF12_direct_+/+_(1536g),0.012314351450830647,0.19479766360712839,0.010463439238183056,0.2724128616877012,0.3502451078841872,up,0.18927229110377727
SMAD3_direct_+/+_(6g),-0.012265529183898125,0.19665905644201745,-0.011806241571905397,0.26448928704560576,0.3502451078841872,down,0.035972175761208876
RB1_direct_+/-_(1684g),0.010974358544645938,0.15040499705373894,0.008160139914439413,0.29731673693706523,0.36908284585290857,up,0.16620766438549134
MEF2C_direct_-/+_(32g),0.014349054839246658,0.36880887787553596,0.013522624208819908,0.44964965620338426,0.5172470025619584,up,0.014912528388040011
ETS1_direct_+/+_(146g),0.008782173582135499,0.40286286447026665,0.008801339634241205,0.45134329179005894,0.5172470025619584,up,0.03440642708806966
ETS1_direct_-/+_(5g),-0.049176157109495175,0.3434568009555432,-0.04250596035955761,0.4597751133884075,0.5172470025619584,down,0.31943130133885483
ETV6_direct_+/+_(97g),-0.0013658959039127853,0.9273069177759999,-0.009346984431792124,0.5421006783543387,0.5739889535516528,down,0.24515034642180564
ETV6_direct_+/-_(1145g),0.011674546595021065,0.3308248874432851,0.007939023225517337,0.5335355296588997,0.5739889535516528,up,0.2057916995703882
MAF_direct_+/+_(14g),0.00457208962467691,0.5831599133767404,0.0028854879466533754,0.7405862797019602,0.7617458876934449,up,0.05945822760366691
MXI1_direct_+/-_(9g),-0.004718332853147479,0.7933580813076888,-0.0016655292251464883,0.9355298627809085,0.9355298627809085,down,0.06410711128708171
